Company Name,Full Address,Category,Phone No,Company Website,Google Map Url
Paesano Ristorante Italiano,"350 W Julian St, San Jose, CA 95110",Italian restaurant,(408) 217-9327 ,paesanosj.com ,"https://www.google.com/maps/place/Paesano+Ristorante+Italiano/@37.3382633,-121.9565191,13z/data=!4m10!1m2!2m1!1sresturants+in+sanjose!3m6!1s0x808fcca1d2bf0d31:0x6828a335733d66d5!8m2!3d37.3361417!4d-121.8987222!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBEml0YWxpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F1vsprr7f?entry=ttu"
Original Joe's San Jose,"301 S 1st St, San Jose, CA 95113",Italian restaurant,(408) 292-7030 ,sanjoseoriginaljoes.com ,"https://www.google.com/maps/place/Original+Joe's+San+Jose/@37.3382633,-121.9565191,13z/data=!3m1!5s0x808fccb9b784a7a1:0x62436bf4b3c0712a!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fccba643d0c2b:0xf2a39dc00c86e26f!8m2!3d37.3313416!4d-121.8871374!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBEml0YWxpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F1hg4z6blv?entry=ttu"
Il Fornaio,"302 S Market St, San Jose, CA 95113",Italian restaurant,(408) 271-3366 ,ilfornaio.com ,"https://www.google.com/maps/place/Il+Fornaio/@37.3382633,-121.9565191,13z/data=!3m1!5s0x808fccb9b784a7a1:0x62436bf4b3c0712a!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fccba8f6ba7d3:0xb0e4939712ce8fe1!8m2!3d37.3310012!4d-121.8878173!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBEml0YWxpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F1trrdfp4?entry=ttu"
The Table,"1110 Willow St, San Jose, CA 95125",American restaurant,(408) 638-7911 ,thetablesj.com ,"https://www.google.com/maps/place/The+Table/@37.3382633,-121.9565191,13z/data=!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808e3357dd85bb17:0xe05f5d927c9c06b1!8m2!3d37.3082046!4d-121.9012822!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1hg4wrxdc?entry=ttu"
Olla Cocina,"17 N San Pedro St, San Jose, CA 95110",Mexican restaurant,(408) 606-7999 ,ollacocina.com ,"https://www.google.com/maps/place/Olla+Cocina/@37.3382633,-121.9565191,13z/data=!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fcca307e326c9:0x326e4e0daef3ffd8!8m2!3d37.3354307!4d-121.8933631!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBEm1leGljYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F11bzsfczkb?entry=ttu"
Original Joe's San Jose,"301 S 1st St, San Jose, CA 95113",Italian restaurant,(408) 292-7030 ,sanjoseoriginaljoes.com ,"https://www.google.com/maps/place/Original+Joe's+San+Jose/@37.3382633,-121.9565191,13z/data=!3m1!5s0x808fccb9b784a7a1:0x62436bf4b3c0712a!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fccba643d0c2b:0xf2a39dc00c86e26f!8m2!3d37.3313416!4d-121.8871374!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBEml0YWxpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F1hg4z6blv?entry=ttu"
Il Fornaio,"302 S Market St, San Jose, CA 95113",Italian restaurant,(408) 271-3366 ,ilfornaio.com ,"https://www.google.com/maps/place/Il+Fornaio/@37.3382633,-121.9565191,13z/data=!3m1!5s0x808fccb9b784a7a1:0x62436bf4b3c0712a!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fccba8f6ba7d3:0xb0e4939712ce8fe1!8m2!3d37.3310012!4d-121.8878173!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBEml0YWxpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F1trrdfp4?entry=ttu"
Jackie's Place,"840 N First St, San Jose, CA 95112",Barbecue restaurant,(408) 490-4653 ,jackiesplacesj.com ,"https://www.google.com/maps/place/Jackie's+Place/@37.3382633,-121.9565191,13z/data=!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fcd6a821c6ef7:0x5475c9e96bd63cff!8m2!3d37.3522426!4d-121.9021066!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBE2JhcmJlY3VlX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11gnnzf70b?entry=ttu"
Paesano Ristorante Italiano,"350 W Julian St, San Jose, CA 95110",Italian restaurant,(408) 217-9327 ,paesanosj.com ,"https://www.google.com/maps/place/Paesano+Ristorante+Italiano/@37.3382633,-121.9565191,13z/data=!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fcca1d2bf0d31:0x6828a335733d66d5!8m2!3d37.3361417!4d-121.8987222!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBEml0YWxpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F1vsprr7f?entry=ttu"
The Farmers Union,"151 W Santa Clara St, San Jose, CA 95113",Gastropub,(408) 277-0545 ,thefarmersunion.com ,"https://www.google.com/maps/place/The+Farmers+Union/@37.3382633,-121.9565191,13z/data=!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fcca309970063:0x97bc199fe9e64304!8m2!3d37.335175!4d-121.8931722!15sChVyZXN0dXJhbnRzIGluIHNhbmpvc2VaFyIVcmVzdHVyYW50cyBpbiBzYW5qb3NlkgEJZ2FzdHJvcHVimgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5uZUhWbVZqTlJSUkFC4AEA!16s%2Fg%2F1yg6ngmz8?entry=ttu"
Nick The Greek,"143 W Santa Clara St, San Jose, CA 95113",Greek restaurant,(408) 294-6425 ,nickthegreek.com ,"https://www.google.com/maps/place/Nick+The+Greek/@37.3382633,-121.9565191,13z/data=!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fcca30f7a498f:0x78f9a13583e63aa6!8m2!3d37.3353355!4d-121.8927704!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBEGdyZWVrX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1q5btstf4?entry=ttu"
Morton's The Steakhouse,"170 S Market St, San Jose, CA 95113",Restaurant,(408) 947-7000 ,mortons.com ,"https://www.google.com/maps/place/Morton's+The+Steakhouse/@37.3382633,-121.9565191,13z/data=!3m1!5s0x808fccbb232223d9:0x55f0c588ab22ada0!4m11!1m3!2m2!1sresturants+in+sanjose!6e5!3m6!1s0x808fcca4d9935b61:0xd0ebc61877898556!8m2!3d37.3322214!4d-121.888913!15sChdyZXN0YXVyYW50cyBpbiBzYW4gam9zZVoZIhdyZXN0YXVyYW50cyBpbiBzYW4gam9zZZIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F1thxwg7n?entry=ttu"
