Company Name,Full Address,Category,Phone No,Company Website,Google Map Url
Exotic Snack Guys,"2521 N Lincoln Ave, Chicago, IL 60614",Convenience store,(773) 904-7479 ,exoticsnackguys.com ,"https://www.google.com/maps/place/Exotic+Snack+Guys/@42.4058452,-89.2381668,9z/data=!4m10!1m2!2m1!1sexotic+snack+guys!3m6!1s0x880fd3de689ac9af:0x2428361d7f3afc55!8m2!3d41.9277248!4d-87.6517083!15sChFleG90aWMgc25hY2sgZ3V5c1oTIhFleG90aWMgc25hY2sgZ3V5c5IBEWNvbnZlbmllbmNlX3N0b3Jl4AEA!16s%2Fg%2F11kk64jq8q?entry=ttu"
Exotic Snack Guys,"2305 N Milwaukee Ave, Chicago, IL 60647",Convenience store,(773) 614-7232 ,exoticsnackguysonline.com ,"https://www.google.com/maps/place/Exotic+Snack+Guys/@42.4058452,-89.2381668,9z/data=!4m10!1m2!2m1!1sexotic+snack+guys!3m6!1s0x880fcd8c558a59f1:0xaeca2dfa35cfb0d8!8m2!3d41.9232756!4d-87.697599!15sChFleG90aWMgc25hY2sgZ3V5c1oTIhFleG90aWMgc25hY2sgZ3V5c5IBEWNvbnZlbmllbmNlX3N0b3Jl4AEA!16s%2Fg%2F11l64tk9qr?entry=ttu"
Exotic Snack Guys,"66 W Towne Mall Unit B-01, Madison, WI 53719",Convenience store,(608) 820-1110 ,exoticsnackguys.com ,"https://www.google.com/maps/place/Exotic+Snack+Guys/@42.4058452,-89.2381668,9z/data=!4m10!1m2!2m1!1sexotic+snack+guys!3m6!1s0x8807af696e7fec09:0xc0199c1b2c7da015!8m2!3d43.0571737!4d-89.505857!15sChFleG90aWMgc25hY2sgZ3V5c1oTIhFleG90aWMgc25hY2sgZ3V5c5IBEWNvbnZlbmllbmNlX3N0b3Jl4AEA!16s%2Fg%2F11vxjdr6h0?entry=ttu"
Exotic Snack Guys,"195 Fox Valley Center Dr Unit c16, Aurora, IL 60504",Convenience store,(773) 614-7232 ,exoticsnackguysonline.com ,"https://www.google.com/maps/place/Exotic+Snack+Guys/@41.7582955,-89.4318184,9z/data=!3m1!5s0x880ef9ce75ac321f:0x7edf0a3a50d2c9fc!4m10!1m2!2m1!1sexotic+snack+guys!3m6!1s0x880ef9437826dc55:0xf74348fd179c3cc!8m2!3d41.7582955!4d-88.212336!15sChFleG90aWMgc25hY2sgZ3V5c5IBEWNvbnZlbmllbmNlX3N0b3Jl4AEA!16s%2Fg%2F11vyhkk2z0?entry=ttu"
Exotic Snack Guys,"5300 S 76th St Ste. 1700, Greendale, WI 53129",Convenience store,(414) 235-3503 ,exoticsnackguys.com ,"https://www.google.com/maps/place/Exotic+Snack+Guys/@42.9483773,-89.2236827,9z/data=!3m1!5s0x880511dc86941103:0xfee05e2aab8c46a0!4m10!1m2!2m1!1sexotic+snack+guys!3m6!1s0x8805114ced4789c9:0x7d1d9b9dbd785366!8m2!3d42.9483773!4d-88.0042003!15sChFleG90aWMgc25hY2sgZ3V5c1oTIhFleG90aWMgc25hY2sgZ3V5c5IBEWNvbnZlbmllbmNlX3N0b3Jl4AEA!16s%2Fg%2F11y2t3kzxz?entry=ttu"
Exotic Snack Guys,"122 Hawthorn Ctr #120, Vernon Hills, IL 60061",Convenience store,Not found,exoticsnackguys.com ,"https://www.google.com/maps/place/Exotic+Snack+Guys/@42.9483773,-89.2236827,9z/data=!3m1!5s0x880f966964f9863d:0x7edf0a3a1c3cd42c!4m10!1m2!2m1!1sexotic+snack+guys!3m6!1s0x880f9734e3a4b7c9:0x1252746fd1dc306!8m2!3d42.2429479!4d-87.9503694!15sChFleG90aWMgc25hY2sgZ3V5c1oTIhFleG90aWMgc25hY2sgZ3V5c5IBEWNvbnZlbmllbmNlX3N0b3Jl4AEA!16s%2Fg%2F11vr4zgm1m?entry=ttu"
Johnny's Snack Shop,"1500 Main St, Antioch, IL 60002",Restaurant,(847) 838-2015 ,johnnyssnackshop.com ,"https://www.google.com/maps/place/Johnny's+Snack+Shop/@42.9445928,-89.2236935,9z/data=!4m10!1m2!2m1!1sorder+exotic+snacks!3m6!1s0x880f81528f2b17db:0x8ad8477d1af324e6!8m2!3d42.4621432!4d-88.0925058!15sChNvcmRlciBleG90aWMgc25hY2tzIgO4AQFaCCIGc25hY2tzkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F1tgh84kt?entry=ttu"
The Snack Shop,"949 Brooks St, Beloit, WI 53511",American restaurant,(608) 313-0044 ,facebook.com ,"https://www.google.com/maps/place/The+Snack+Shop/@42.5033306,-90.2701879,9z/data=!4m10!1m2!2m1!1sorder+exotic+snacks!3m6!1s0x8808a103f0921fc7:0xb349afa82b1df794!8m2!3d42.5033306!4d-89.0507055!15sChNvcmRlciBleG90aWMgc25hY2tzIgO4AQFaCCIGc25hY2tzkgETYW1lcmljYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F1thl_056?entry=ttu"
Za's Exotic Snacks,"515 University Ave SUITE D, Madison, WI 53703",Candy store,(608) 405-3009 ,Not found,"https://www.google.com/maps/place/Za's+Exotic+Snacks/@42.5033306,-90.2701879,9z/data=!4m10!1m2!2m1!1sorder+exotic+snacks!3m6!1s0x880653990b574e33:0x431df0bf36c70b02!8m2!3d43.0728719!4d-89.3946753!15sChNvcmRlciBleG90aWMgc25hY2tzIgO4AQFaCCIGc25hY2tzkgELY2FuZHlfc3RvcmXgAQA!16s%2Fg%2F11stx734sh?entry=ttu"
Sendik's Food Market,"10930 N Port Washington Rd, Mequon, WI 53092",Grocery store,(262) 241-9525 ,sendiks.com ,"https://www.google.com/maps/place/Sendik's+Food+Market/@43.2167555,-89.1417825,9z/data=!4m10!1m2!2m1!1sorder+exotic+snacks!3m6!1s0x8804e15cd422163b:0xd6fadb14d7092aa3!8m2!3d43.2167555!4d-87.9223001!15sChNvcmRlciBleG90aWMgc25hY2tzIgO4AQFSGQiJ-PHtExDbkM2is6Gj5acBGgJlbiICVVNaCCIGc25hY2tzaAGSAQ1ncm9jZXJ5X3N0b3Jl4AEA!16s%2Fg%2F1tjjpyq2?entry=ttu"
